Folder Foto Tanaman https://drive.google.com/drive/folders/1xuIrua6khL1btxkMDoHzMf02LAqRrNAs?usp=sharing,,,,,,
"Anggit: peat, loam;    Novi: clay, silt;    Rhazes: sand, chalk",,,,,,
No,Tanaman,Foto,Deskripsi,Nama Latin,Tanah,Sumber Deskripsi
23,Bayam ,TRUE,"Bayam jepang atau horenso (Spinacia oleracea) (dari Bahasa Jepang ""ホウレンソウ"") adalah sayuran yang dimakan daunnya, dari genus Spinacia. Di Indonesia dapat dijumpai di supermarket dan kadang dikenal sebagai spinach (dari bahasa Inggris), berbeda dengan bayam (Amaranthus) yang banyak dikenal di Indonesia sebagai ""spinach"". Horenso biasanya tidak cocok untuk daerah beriklim tropis seperti Indonesia karena cepat berbunga sehingga tidak menumbuhkan banyak daun.",Spinacia oleracea,Chalk,https://id.wikipedia.org/wiki/Bayam_jepang
24,Cabbage,TRUE,"Kubis atau kol (terdiri dari beberapa kelompok kultivar dari Brassica oleracea) adalah tanaman dua tahunan hijau atau ungu berdaun, ditanam sebagai tanaman tahunan sayuran untuk kepala padat berdaunnya. Erat kaitannya dengan tanaman cole lainnya, seperti brokoli, kembang kol, dan kubis brussel, itu diturunkan dari B. oleracea var. oleracea, kubis lapangan liar. Kepala kubis umumnya berkisar 05 hingga 4 kilogram (10 hingga 9 pon), dan dapat berwarna hijau, ungu dan putih. Kubis hijau berkepala keras berdaun halus adalah yang paling umum, dengan kubis merah berdaun halus dan kubis savoy berdaun crinkle dari kedua warna terlihat lebih jarang. Kubis adalah sayuran yang berlapis-lapis. Dalam kondisi hari diterangi matahari panjang seperti yang ditemukan di garis lintang utara di musim panas, kubis dapat tumbuh jauh lebih besar. Beberapa rekor dibahas pada akhir bagian sejarah.",Brassica oleracea,Chalk,https://id.wikipedia.org/wiki/Kubis
25,Jagung Manis,TRUE,"Jagung manis (Zea mays Kelompok Saccharata) adalah salah satu kelompok budidaya/kelompok kultivar. Jagung manis juga mempunyai peran secara komersial, setelah jagung biasa (juga biasa disebut jagung ladang atau field corn). Keistimewaannya adalah kandungan gula (terutama sukrosa) yang tinggi pada waktu dipanen. Pemanenan untuk produksi selalu dilakukan pada saat muda (tahap ""masak susu"", kira-kira 18-22 hari setelah penyerbukan terjadi).

Rasa manis pada waktu panen terjadi karena jagung ini mengalami mutasi pada satu atau beberapa gen yang mengatur pembentukan rantai polisakarida, sehingga bulir-bulir jagungnya gagal membentuk pati dalam jumlah yang cukup banyak. Akibat kegagalan ini, ketika mengering bulirnya akan mengeriput.",Zea mays,Chalk,https://id.wikipedia.org/wiki/Jagung_manis
26,Lilac,TRUE,"Syringa vulgaris (lailak atau lailak umum) adalah sebuah spesies tumbuhan berbunga dalam famili zaitun Oleaceae, yang berasal dari Semenanjung Balkan, di mana tumbuhan tersebut tumbuh di perbukitan berbatu.[1][2][3] Spesies tersebut banyak ditanam sebagai hiasan dan telah di bawa ke belahan Eropa lainnya (termasuk Britania Raya, Prancis, Jerman, dan Italia), serta sebagian besar Amerika Utara.

Keluarga Oleaceae ini memiliki lebih dari 20 spesies tanaman yang berbeda, termasuk zaitun, ash, dan melati. Dalam spesies mereka, ada lebih dari 1.000 ragam lailak, termasuk beberapa pohon. Pohon Lailak Peking dan Lailak Jepang dapat mencapai ketinggian lebih dari 30 kaki",S. vulgaris,Chalk,https://id.wikipedia.org/wiki/Syringa_vulgaris
27,Weigela,TRUE,"Weigela /waɪˈdʒiːlə/ is a genus of between six and 38 species of deciduous shrubs in the family Caprifoliaceae, growing to 1–5 m (3–15′) tall. All are natives of eastern Asia. The genus is named after the German scientist Christian Ehrenfried Weigel.[",Wigela,Chalk,https://en.wikipedia.org/wiki/Weigela
28,Akebia,TRUE,"Buah yang mungil bening ini berisi bijian kecil. Aromanya wangi persis cokelat. Karenanya buahnya diolah menjadi berbagai hidangan. Digoreng, diberi bumbu miso hingga dibuat tempura,. Hadirnya buah ini jadi tanda awal musim gugur.

Akebia adalah tanaman berbunga yang banyak tersebar di Asia Timur. Akebia memiliki 5 spesies berbeda seperti diantaranya akebia trifoliata dan akebia quinata. Kedua jenis akebia ini sama-sama berasal dari Jepang, China dan Korea.",Akebia,Chalk,https://yoursay.suara.com/health/2022/05/31/094702/yuk-kenali-asal-usul-dan-segudang-manfaat-buah-akebia
29,Ivy,TRUE,"Hedera, yang umum disebut ivy, adalah sebuah genus dari 12-15 spesies tumbuhan berkayu merambat atau menanjak hijau abadi dalam keluarga Araliaceae. Tumbuhan tersebut tersebar dari Eropa barat, tengah dan selatan, Makaronesia, Afrika barat laut, Asia selatan sampai Jepang dan Taiwan.",Hedera,Chalk,https://id.wikipedia.org/wiki/Hedera
30,Melati,TRUE,"Melati (Jasminum ) merupakan tanaman bunga hias berupa perdu berbatang tegak yang hidup menahun. Melati merupakan genus dari semak dan tanaman merambat dalam keluarga zaitun (Oleaceae). Terdiri dari sekitar 200 spesies tumbuhan asli daerah beriklim tropis dan hangat dari Eurasia, Australasia dan Oseania, melati secara luas dibudidayakan untuk aroma khas bunganya yang harum. Di Indonesia, salah satu jenis melati telah dipilih menjadi ""puspa bangsa"" atau bunga simbol nasional yaitu melati putih (Jasminum sambac), karena bunga ini melambangkan kesucian dan kemurnian, serta dikaitkan dengan berbagai tradisi dari banyak suku di negara ini. Bunga ini merupakan bagian yang tidak terpisahkan dari hiasan rambut pengantin perempuan dalam upacara perkawinan berbagai suku di Indonesia, terutama suku Jawa dan Sunda. Jenis lain yang juga populer adalah melati gambir (J. officinale). ",Jasminum,Chalk,https://id.wikipedia.org/wiki/Melati
31,Melati Putri,TRUE,"Lonicera japonica adalah tumbuhan merambat[1] yang bisa tumbuh hingga ketinggian 10 meter atau lebih pada pohon, dengan daun berbentuk oval berukuran panjang 3–8 centimeter dan lebar 2-3 centimeter. Batang yang masih muda berwarna sedikit merah dan berbulu. Batang tua berwarna coklat.[2] bunganya berwarna putih hingga kuning, dan beraroma manis vanilla. Buahnya[2] adalah buah beri berwarna hitam dengan diameter 3–4 milimeter dan mengandung beberapa biji.[3] Nektar bunganya bisa dikonsumsi, namun, semua bagian seain itu berpotensi beracun.",Lonicera japonica,Chalk,https://id.wikipedia.org/wiki/Lonicera_japonica
32,Pohon Jati,TRUE,"Jati merupakan salah satu jenis tanaman yang bermanfaat besar bagi manusia, kayu jati sendiri menjadi salah satu jenis kayu yang paling berkualitas dan memiliki harga yang mahal dipasaran. Tanaman jati sendiri merupakan salah satu jenis tanaman yang cocok ditanam di tanah kapur. Meskipun miskin unsure hara, tanah kapur justru sangat baik bagi pertumbuhan tanaman jati. Pohon jati yang ditanam di tanah kapur akan dapat tumbu h menjulang tinggi yang tentunya merupakan kayu jenis kualitas pertama dan merupakan produk unggulan.

 Tanaman pohon jati juga merupakan jenis tanaman yang tidak banyak membutuhkan air dan relative sedikit membutuhkan kandungan unsure hara. Sedangkan karakteristik dari tanah kapur sendiri adalah miskin unsure hara serta juga tidak mudah menyerap air dan bahkan relative sangat mudah dilalui air.",Tectona grandis,Chalk,https://ilmubudidaya.com/jenis-tanaman-yang-cocok-untuk-tanah-kapur
33,Srikaya,TRUE,"Srikaya (bahasa Latin: Annona squamosa), adalah tanaman yang tergolong ke dalam genus Annona yang berasal dari daerah tropis.

Buah srikaya berbentuk bulat dengan kulit bermata banyak (serupa sirsak). Daging buahnya berwarna putih.

Termasuk semak semi-hijau abadi atau pohon yang meranggas mencapai 8 m tingginya. Daunnya berselang, sederhana, lembing membujur, 7–12 cm panjangnya, dan berlebar 3–4 cm. Bunganya muncul dalam tandan sebanyak 3—4, tiap bunga berlebar 2–3 cm, dengan enam daun bunga/kelopak, kuning-hijau berbintik ungu di dasarnya.

Buahnya biasanya bundar atau mirip kerucut cemara, berdiameter 6–10 cm, dengan kulit berbenjol dan bersisik. Daging buahnya putih, menyerupai dan memiliki rasa seperti podeng.",Annona squamosa,Chalk,https://id.wikipedia.org/wiki/Srikaya
34,Lidah Buaya,TRUE,"Lidah buaya (Aloe vera) adalah spesies tumbuhan dengan daun berdaging tebal dari genus Aloe. Tumbuhan ini bersifat menahun, berasal dari Jazirah Arab, dan tanaman liarnya telah menyebar ke kawasan beriklim tropis, semi-tropis, dan kering di berbagai belahan dunia. Tanaman lidah buaya banyak dibudidayakan untuk pertanian, pengobatan, dan tanaman hias, dan dapat juga ditanam di dalam pot.

Lidah buaya banyak ditemukan dalam produk seperti minuman, olesan untuk kulit, kosmetika, atau obat luar untuk luka bakar. Walaupun banyak digunakan secara tradisional maupun komersial, uji klinis terhadap tanaman ini belum membuktikan keefektifan atau keamanan ekstrak lidah buaya untuk pengobatan maupun kecantikan.",Aloe vera,Chalk,https://id.wikipedia.org/wiki/Lidah_buaya
35,Air Mata Pengantin,TRUE,"Air mata pengantin (Antigonon) adalah tumbuhan memanjat (liana) anggota suku Polygonaceae yang berasal dari Amerika Tengah. Dengan dua atau tiga jenis anggota, tumbuhan ini adalah penghias taman yang populer. Pada masa kolonial Belanda, air mata pengantin menjadi penghias taman dan pekarangan. Tumbuhan ini dapat dengan cepat tumbuh dan menjadi gulma.",Antigonon,Chalk,https://id.wikipedia.org/wiki/Air_mata_pengantin
36,Sedum,TRUE,"Sedum adalah genus tumbuhan berbunga dalam famili Crassulaceae. Mulanya genus dideskripsikan mengandung hingga 600 spesies tumbuhan, namun kini dikurangi hingga menjadi 400–500 spesies tumbuhan. Mereka adalah sukulen daun yang ditemukan terutama di Belahan Bumi Utara, tetapi meluas ke belahan bumi selatan di Afrika dan Amerika Selatan. Anggotanya bervariasi, mulai dari herba tahunan dan merayap hingga semak. Anggotanya memiliki daun yang menyimpan air. Bunganya biasanya memiliki lima kelopak, namun ada juga yang empat atau enam tetapi jarang. Biasanya ada benang sari dua kali lebih banyak dari kelopak bunganya. Berbagai spesies yang sebelumnya diklasifikasikan sebagai anggota genus ini sekarang berada dalam genus Hylotelephium dan Rhodiola.",Sedum,Chalk,https://id.wikipedia.org/wiki/Sedum
37,Bolivian Jew,TRUE,"Tanaman tahunan membentuk tikar yang merambat. Tunas yang berbunga menanjak. Daunnya yang berdaging dan halus tumbuh lebih kecil ke arah ujung pucuk. Bilah daun berbentuk lonjong hingga lanset, panjang 1-3,5 sentimeter dan lebar 0,6-1 sentimeter. Pada daun bagian distal, helaiannya lebih sempit daripada selubung daun yang terbuka dan menyebar. Tumbuh dengan cepat, berkembang biak dengan mudah dengan tunas panjang dan menjalar yang berakar di setiap simpul, segera setelah berada di tanah.",C. repens,Chalk,https://en.wikipedia.org/wiki/Callisia_repens
38,Lidah Mertua,TRUE,"Sansevieria adalah genus tanaman berbunga yang dikenal secara historis, asli Afrika, terutama Madagaskar, dan Asia selatan, sekarang termasuk dalam genus Dracaena berdasarkan studi filogenetik molekuler. Nama umum untuk 70 atau lebih spesies yang sebelumnya ditempatkan dalam genus termasuk lidah mertua.",Sansevieria,Chalk,https://id.wikipedia.org/wiki/Sansevieria
39,Poison Rope,TRUE,"Strophanthus petersianus, umumnya dikenal sebagai tali racun hutan pasir, adalah liana atau semak daun yang panjangnya mencapai 15 meter (50 kaki), dengan diameter batang hingga 10 sentimeter (4 inci). Bunganya yang harum memiliki mahkota bunga berwarna putih, terkadang dengan garis-garis merah muda kemerahan di bagian dalam, Strophanthus petersianus telah digunakan sebagai racun panah dan oleh suku Zulu sebagai jimat untuk melawan kejahatan. Habitatnya adalah hutan pantai dan hutan berbatu. Tanaman ini berasal dari negara-negara dari Kenya ke selatan hingga Afrika Selatan.",S. petersianus,Chalk,https://en.wikipedia.org/wiki/Strophanthus_petersianus
40,Jade Vine,TRUE,"Strongylodon macrobotrys, umumnya dikenal sebagai tanaman rambat giok, tanaman rambat zamrud atau tanaman rambat giok pirus, adalah spesies tanaman liana (tanaman rambat berkayu) abadi polongan yang endemik di hutan tropis Filipina. Nama lokalnya adalah tayabak. Anggota Fabaceae (keluarga kacang-kacangan dan buncis) ini berkerabat dekat dengan kacang-kacangan seperti kacang merah dan kacang panjang. Strongylodon macrobotrys diserbuki oleh kelelawar.",S. macrobotrys,Chalk,https://en.wikipedia.org/wiki/Strongylodon_macrobotrys
41,Petrea,TRUE,"Petrea adalah genus tumbuhan hijau abadi (evergreen) yang tumbuh merambat, aslinya berasal dari Meksiko dan Amerika Tengah. Karena daunnya memiliki tekstur yang kasar sehingga petrea sering dijuluki sebagai sandpaper vine (amplas rambat).

Petrea pertama kali diperkenalkan di Amerika bagian tropis dan populer sebagai tanaman hias merambat di pagar selama bertahun-tahun. Karena pertumbuhannya merambat sehingga ia membutuhkan penopang seperti pagar rumah. Selain itu, petrea juga cocok dijadikan sebagai tanaman gantung.",Petrea,Chalk,https://en.wikipedia.org/wiki/Petrea
